ŝatanta	ŝat'ant'a
ŝatantaj	ŝat'ant'a'j
ŝatante	ŝat'ant'e
ŝatanto	ŝat'ant'o
ŝatantoj	ŝat'ant'o'j
ŝatantojn	ŝat'ant'o'j'n
ŝatata	ŝat'at'a
ŝatataj	ŝat'at'a'j
ŝatatajn	ŝat'at'a'j'n
ŝatatan	ŝat'at'a'n
ŝatatas	ŝat'at'as
ŝatateco	ŝat'at'ec'o
ŝatatecon	ŝat'at'ec'o'n
ŝategas	ŝat'eg'as
ŝategis	ŝat'eg'is
ŝategos	ŝat'eg'os
ŝategus	ŝat'eg'us
ŝatinda	ŝat'ind'a
ŝatindaj	ŝat'ind'a'j
ŝatinta	ŝat'int'a
ŝatintus	ŝat'int'us
ŝatita	ŝat'it'a
ŝatokupo	ŝat'okup'o
ŝatokupoj	ŝat'okup'o'j
ŝatokupojn	ŝat'okup'o'j'n
ŝatokupon	ŝat'okup'o'n
ŝaŭma	ŝaŭm'a
ŝaŭmaj	ŝaŭm'a'j
ŝaŭmas	ŝaŭm'as
ŝaŭmo	ŝaŭm'o
ŝaŭmoj	ŝaŭm'o'j
ŝaŭmon	ŝaŭm'o'n
ŝaŭmanta	ŝaŭm'ant'a
ŝaŭmvino	ŝaŭm'vin'o
ŝedo	ŝed'o
ŝedoj	ŝed'o'j
ŝejko	ŝejk'o
ŝejkoj	ŝejk'o'j
ŝekspira	ŝekspir'a
ŝekspiro	ŝekspir'o
ŝekspiron	ŝekspir'o'n
ŝela	ŝel'a
ŝelo	ŝel'o
ŝeloj	ŝel'o'j
ŝelojn	ŝel'o'j'n
ŝelon	ŝel'o'n
ŝelkojn	ŝelk'o'j'n
ŝengena	ŝengen'a
ŝenoprazo	ŝenopraz'o
ŝerca	ŝerc'a
ŝercaj	ŝerc'a'j
ŝercan	ŝerc'a'n
ŝercas	ŝerc'as
ŝerce	ŝerc'e
ŝerci	ŝerc'i
ŝercis	ŝerc'is
ŝerco	ŝerc'o
ŝercoj	ŝerc'o'j
ŝercojn	ŝerc'o'j'n
ŝercon	ŝerc'o'n
ŝercu	ŝerc'u
ŝercado	ŝerc'ad'o
ŝercante	ŝerc'ant'e
ŝercema	ŝerc'em'a
ŝercemo	ŝerc'em'o
ŝercemulo	ŝerc'em'ul'o
ŝerculo	ŝerc'ul'o
ŝi	ŝi
ŝia	ŝi'a
ŝiaj	ŝi'a'j
ŝiajn	ŝi'a'j'n
ŝian	ŝi'a'n
ŝin	ŝi'n
ŝiahejmen	ŝi'a'hejm'e'n
ŝijaisma	ŝijaism'a
ŝijaismaj	ŝijaism'a'j
ŝijaismo	ŝijaism'o
ŝijaistoj	ŝijaist'o'j
ŝika	ŝik'a
ŝikaj	ŝik'a'j
ŝikajn	ŝik'a'j'n
ŝikan	ŝik'a'n
ŝike	ŝik'e
ŝikeco	ŝik'ec'o
ŝilo	ŝil'o
ŝildaj	ŝild'a'j
ŝildo	ŝild'o
ŝildoj	ŝild'o'j
ŝildojn	ŝild'o'j'n
ŝildon	ŝild'o'n
ŝildeto	ŝild'et'o
ŝildmuro	ŝild'mur'o
ŝilingo	ŝiling'o
ŝilingoj	ŝiling'o'j
ŝilingojn	ŝiling'o'j'n
