uverbo	u'verb'o
unuvoĉe	unu'voĉ'e
unuvorte	unu'vort'e
unuel	unuel
unuto	unut'o
upaniŝado	upaniŝad'o
upaniŝadoj	upaniŝad'o'j
uragana	uragan'a
uragano	uragan'o
uraganoj	uragan'o'j
uraganojn	uragan'o'j'n
uraganon	uragan'o'n
urala	ural'a
uralaj	ural'a'j
uralo	ural'o
urano	uran'o
uranon	uran'o'n
urania	urani'a
uranio	urani'o
uranion	urani'o'n
urba	urb'a
urbaj	urb'a'j
urbajn	urb'a'j'n
urban	urb'a'n
urbe	urb'e
urben	urb'e'n
urbi	urb'i
urbo	urb'o
urboj	urb'o'j
urbojn	urb'o'j'n
urbon	urb'o'n
urbana	urb'an'a
urbano	urb'an'o
urbanoj	urb'an'o'j
urbanojn	urb'an'o'j'n
urbanaro	urb'an'ar'o
urbanaron	urb'an'ar'o'n
urbaro	urb'ar'o
urbcentro	urb'centr'o
urbdomo	urb'dom'o
urbeca	urb'ec'a
urbego	urb'eg'o
urbegoj	urb'eg'o'j
urbegon	urb'eg'o'n
urbestra	urb'estr'a
urbestro	urb'estr'o
urbestroj	urb'estr'o'j
urbestron	urb'estr'o'n
urbestraro	urb'estr'ar'o
urbeta	urb'et'a
urbetaj	urb'et'a'j
urbeto	urb'et'o
urbetoj	urb'et'o'j
urbetojn	urb'et'o'j'n
urbeton	urb'et'o'n
urbigo	urb'ig'o
urbigon	urb'ig'o'n
urbocentra	urb'o'centr'a
urbocentraj	urb'o'centr'a'j
urbocentre	urb'o'centr'e
urbocentro	urb'o'centr'o
urbocentroj	urb'o'centr'o'j
urbocentron	urb'o'centr'o'n
urbocentrolimoj	urb'o'centr'o'lim'o'j
urbodelegitaro	urb'o'deleg'it'ar'o
urbodoma	urb'o'dom'a
urbodomo	urb'o'dom'o
urbodomoj	urb'o'dom'o'j
urbodomon	urb'o'dom'o'n
urbokerna	urb'o'kern'a
urbokernaj	urb'o'kern'a'j
urbokerno	urb'o'kern'o
urbokernon	urb'o'kern'o'n
urbokvartalo	urb'o'kvartal'o
urbomapon	urb'o'map'o'n
urbomezo	urb'o'mez'o
urbomuro	urb'o'mur'o
urbomuroj	urb'o'mur'o'j
urbomurojn	urb'o'mur'o'j'n
urbomuron	urb'o'mur'o'n
urbonomo	urb'o'nom'o
urbonomoj	urb'o'nom'o'j
urboparko	urb'o'park'o
urboparto	urb'o'part'o
urbopartoj	urb'o'part'o'j
urboparton	urb'o'part'o'n
urboplaco	urb'o'plac'o
urboplanado	urb'o'plan'ad'o
urboplanistoj	urb'o'plan'ist'o'j
urbopordegoj	urb'o'pord'eg'o'j
urborando	urb'o'rand'o
urbosilueto	urb'o'siluet'o
urbosilueton	urb'o'siluet'o'n
urboŝtato	urb'o'ŝtat'o
urboŝtatoj	urb'o'ŝtat'o'j
urboŝtatojn	urb'o'ŝtat'o'j'n
urbotipa	urb'o'tip'a
urboficistoj	urb'ofic'ist'o'j
urbaniza	urbaniz'a
urbanizado	urbaniz'ad'o
urbanizita	urbaniz'it'a
urbanizitaj	urbaniz'it'a'j
ureo	ure'o
ureon	ure'o'n
ureata	ureat'a
uretero	ureter'o
uretro	uretr'o
urĝa	urĝ'a
urĝaj	urĝ'a'j
urĝajn	urĝ'a'j'n
urĝan	urĝ'a'n
urĝas	urĝ'as
urĝe	urĝ'e
urĝi	urĝ'i
urĝis	urĝ'is
urĝo	urĝ'o
urĝon	urĝ'o'n
urĝos	urĝ'os
urĝu	urĝ'u
urĝata	urĝ'at'a
urĝeco	urĝ'ec'o
urĝecon	urĝ'ec'o'n
urĝigis	urĝ'ig'is
urĝiĝas	urĝ'iĝ'as
urĝiĝu	urĝ'iĝ'u
urina	urin'a
urinas	urin'as
urini	urin'i
urinis	urin'is
urino	urin'o
urinon	urin'o'n
urinado	urin'ad'o
urinveziko	urin'vezik'o
urno	urn'o
urnoj	urn'o'j
urnojn	urn'o'j'n
urnon	urn'o'n
ursa	urs'a
ursaj	urs'a'j
ursan	urs'a'n
urso	urs'o
ursoj	urs'o'j
ursojn	urs'o'j'n
urson	urs'o'n
urseto	urs'et'o
ursido	urs'id'o
ursino	urs'in'o
ursinon	urs'in'o'n
ursula	ursul'a
urtiko	urtik'o
urtikoj	urtik'o'j
urtikario	urtikari'o
urugvaja	urugvaj'a
urugvajo	urugvaj'o
urumĉio	urumĉi'o
usformo	us'form'o
usona	uson'a
usonaj	uson'a'j
usonajn	uson'a'j'n
usonan	uson'a'n
usone	uson'e
usono	uson'o
usonon	uson'o'n
usonano	uson'an'o
usonanoj	uson'an'o'j
usonanojn	uson'an'o'j'n
usonanino	uson'an'in'o
usonangla	uson'angl'a
usonomararmeo	uson'o'mar'arme'o
usonomilitistaro	uson'o'milit'ist'ar'o
usonoregistaro	uson'o'reg'ist'ar'o
utera	uter'a
uteran	uter'a'n
utero	uter'o
uteroj	uter'o'j
uteron	uter'o'n
utila	util'a
utilaj	util'a'j
utilajn	util'a'j'n
utilan	util'a'n
utilas	util'as
utile	util'e
utili	util'i
utilis	util'is
utilo	util'o
utiloj	util'o'j
utilojn	util'o'j'n
utilon	util'o'n
utilos	util'os
utilu	util'u
utilus	util'us
utilaĵoj	util'aĵ'o'j
utilaĵojn	util'aĵ'o'j'n
utilante	util'ant'e
utileca	util'ec'a
utileco	util'ec'o
utilecon	util'ec'o'n
utilega	util'eg'a
utilegas	util'eg'as
utiliga	util'ig'a
utiligas	util'ig'as
utiligi	util'ig'i
utiligis	util'ig'is
utiligo	util'ig'o
utiligoj	util'ig'o'j
utiligon	util'ig'o'n
utiligos	util'ig'os
utiligu	util'ig'u
utiligus	util'ig'us
utiligado	util'ig'ad'o
utiligadon	util'ig'ad'o'n
utiliganta	util'ig'ant'a
utiligantaj	util'ig'ant'a'j
utiligantajn	util'ig'ant'a'j'n
utiligantan	util'ig'ant'a'n
utiligante	util'ig'ant'e
utiligata	util'ig'at'a
utiligataj	util'ig'at'a'j
utiligebla	util'ig'ebl'a
utiligeblaj	util'ig'ebl'a'j
utiligeblan	util'ig'ebl'a'n
utiligita	util'ig'it'a
utiligitaj	util'ig'it'a'j
utiligitajn	util'ig'it'a'j'n
utiligitan	util'ig'it'a'n
utiligite	util'ig'it'e
utiliĝas	util'iĝ'as
utilisma	util'ism'a
utilismaj	util'ism'a'j
utilisman	util'ism'a'n
utilismo	util'ism'o
utilplanto	util'plant'o
utilŝarĝa	util'ŝarĝ'a
utilŝarĝan	util'ŝarĝ'a'n
utopia	utopi'a
utopiaj	utopi'a'j
utopian	utopi'a'n
utopio	utopi'o
utopioj	utopi'o'j
utopiojn	utopi'o'j'n
utopion	utopi'o'n
utopiistoj	utopi'ist'o'j
utreĥto	utreĥt'o
uverturo	uvertur'o
uverturoj	uvertur'o'j
uvula	uvul'a
uza	uz'a
uzaj	uz'a'j
uzajn	uz'a'j'n
uzan	uz'a'n
uzas	uz'as
uzi	uz'i
uzis	uz'is
uzo	uz'o
uzoj	uz'o'j
uzojn	uz'o'j'n
uzon	uz'o'n
uzos	uz'os
uzu	uz'u
uzus	uz'us
uzadas	uz'ad'as
uzadi	uz'ad'i
uzadis	uz'ad'is
uzado	uz'ad'o
uzadoj	uz'ad'o'j
uzadon	uz'ad'o'n
uzaĵoj	uz'aĵ'o'j
uzaĵojn	uz'aĵ'o'j'n
uzanta	uz'ant'a
uzantaj	uz'ant'a'j
uzantajn	uz'ant'a'j'n
uzantan	uz'ant'a'n
uzante	uz'ant'e
uzanto	uz'ant'o
uzantoj	uz'ant'o'j
uzantojn	uz'ant'o'j'n
uzanton	uz'ant'o'n
uzantaro	uz'ant'ar'o
uzantinterfaco	uz'ant'inter'fac'o
uzantinterfacoj	uz'ant'inter'fac'o'j
uzantinterfacon	uz'ant'inter'fac'o'n
uzantnomo	uz'ant'nom'o
uzantointerfaco	uz'ant'o'inter'fac'o
uzantointerfacoj	uz'ant'o'inter'fac'o'j
uzantointerfacojn	uz'ant'o'inter'fac'o'j'n
uzantointerfacon	uz'ant'o'inter'fac'o'n
uzantosperto	uz'ant'o'spert'o
uzata	uz'at'a
uzataj	uz'at'a'j
uzatajn	uz'at'a'j'n
uzatan	uz'at'a'n
uzatas	uz'at'as
uzate	uz'at'e
uzati	uz'at'i
uzatis	uz'at'is
uzebla	uz'ebl'a
uzeblaj	uz'ebl'a'j
uzeblajn	uz'ebl'a'j'n
uzeblan	uz'ebl'a'n
uzeblas	uz'ebl'as
uzeble	uz'ebl'e
uzeblis	uz'ebl'is
uzeblo	uz'ebl'o
uzeblon	uz'ebl'o'n
uzebleco	uz'ebl'ec'o
uzeblecon	uz'ebl'ec'o'n
uzenda	uz'end'a
uzendaj	uz'end'a'j
uziĝas	uz'iĝ'as
uziĝi	uz'iĝ'i
uziĝis	uz'iĝ'is
uzinda	uz'ind'a
uzindaj	uz'ind'a'j
uzinta	uz'int'a
uzintaj	uz'int'a'j
uzinte	uz'int'e
uzita	uz'it'a
uzitaj	uz'it'a'j
uzitajn	uz'it'a'j'n
uzitan	uz'it'a'n
uzite	uz'it'e
uzitis	uz'it'is
uzkazoj	uz'kaz'o'j
uzkonsumi	uz'konsum'i
uzmaniero	uz'manier'o
uzokutimo	uz'o'kutim'o
uzokutimoj	uz'o'kutim'o'j
uzokutimojn	uz'o'kutim'o'j'n
uzokutimon	uz'o'kutim'o'n
uzota	uz'ot'a
uzotaj	uz'ot'a'j
uzula	uz'ul'a
uzulo	uz'ul'o
uzulinterfaco	uz'ul'inter'fac'o
uzbeka	uzbek'a
uzbekaj	uzbek'a'j
uzbeko	uzbek'o
uzbekoj	uzbek'o'j
uzbekio	uzbek'i'o
uzbekistano	uzbek'ist'an'o
uzina	uzin'a
uzinaj	uzin'a'j
uzino	uzin'o
uzinoj	uzin'o'j
uzinojn	uzin'o'j'n
uzinon	uzin'o'n
uzinposedanto	uzin'posed'ant'o
uzuro	uzur'o
uzuron	uzur'o'n
uzurpi	uzurp'i
uzurpis	uzurp'is
uzurpanto	uzurp'ant'o
uzurpantoj	uzurp'ant'o'j
uzurpita	uzurp'it'a
