sabata	sabat'a
skarlataj	skarlat'a'j
skarlatan	skarlat'a'n
skarlato	skarlat'o
skarpo	skarp'o
skarpoj	skarp'o'j
skarpojn	skarp'o'j'n
skarpon	skarp'o'n
skatolo	skatol'o
skatoloj	skatol'o'j
skatolojn	skatol'o'j'n
skatolon	skatol'o'n
skatoleto	skatol'et'o
skatoleton	skatol'et'o'n
skeĉo	skeĉ'o
skeĉoj	skeĉ'o'j
skeĉojn	skeĉ'o'j'n
skeĉon	skeĉ'o'n
skeldo	skeld'o
skeleta	skelet'a
skeletaj	skelet'a'j
skeleto	skelet'o
skeletoj	skelet'o'j
skeletojn	skelet'o'j'n
skeleton	skelet'o'n
skeletmuskolo	skelet'muskol'o
skeletrestaĵoj	skelet'rest'aĵ'o'j
skema	skem'a
skemaj	skem'a'j
skeme	skem'e
skemo	skem'o
skemoj	skem'o'j
skemojn	skem'o'j'n
skemon	skem'o'n
skeptika	skeptik'a
skeptikaj	skeptik'a'j
skeptikan	skeptik'a'n
skeptikas	skeptik'as
skeptike	skeptik'e
skeptiko	skeptik'o
skeptikon	skeptik'o'n
skeptikeco	skeptik'ec'o
skeptikismo	skeptik'ism'o
skeptikulo	skeptik'ul'o
skeptikuloj	skeptik'ul'o'j
skeptikulojn	skeptik'ul'o'j'n
skerco	skerc'o
skermi	skerm'i
skermo	skerm'o
skermado	skerm'ad'o
skermadon	skerm'ad'o'n
skermisto	skerm'ist'o
skermita	skerm'it'a
skias	ski'as
skii	ski'i
skiis	ski'is
skio	ski'o
skioj	ski'o'j
skiojn	ski'o'j'n
skiadi	ski'ad'i
skiadis	ski'ad'is
skiado	ski'ad'o
skiadon	ski'ad'o'n
skianto	ski'ant'o
skiantoj	ski'ant'o'j
skiejo	ski'ej'o
skiejoj	ski'ej'o'j
skiistoj	ski'ist'o'j
skikurado	ski'kur'ad'o
skipa	skip'a
skipo	skip'o
skipoj	skip'o'j
skipojn	skip'o'j'n
skipon	skip'o'n
skipanoj	skip'an'o'j
skipestro	skip'estr'o
skismo	skism'o
skismoj	skism'o'j
skismojn	skism'o'j'n
skismon	skism'o'n
skisto	skist'o
skita	skit'a
skitaj	skit'a'j
skitoj	skit'o'j
skitio	skit'i'o
skiza	skiz'a
skizaj	skiz'a'j
skizan	skiz'a'n
skizas	skiz'as
skize	skiz'e
skizi	skiz'i
skizis	skiz'is
skizo	skiz'o
skizoj	skiz'o'j
skizojn	skiz'o'j'n
skizon	skiz'o'n
skizado	skiz'ad'o
skizante	skiz'ant'e
skizita	skiz'it'a
skizitaj	skiz'it'a'j
skizitajn	skiz'it'a'j'n
skizite	skiz'it'e
skizofrenia	skizofreni'a
skizofreniaj	skizofreni'a'j
skizofrenio	skizofreni'o
skizofrenion	skizofreni'o'n
sklava	sklav'a
sklavaj	sklav'a'j
sklavan	sklav'a'n
sklave	sklav'e
sklavi	sklav'i
sklavo	sklav'o
sklavoj	sklav'o'j
sklavojn	sklav'o'j'n
sklavon	sklav'o'n
sklaveca	sklav'ec'a
sklaveco	sklav'ec'o
sklavecon	sklav'ec'o'n
sklavigas	sklav'ig'as
sklavigi	sklav'ig'i
sklavigis	sklav'ig'is
sklavigo	sklav'ig'o
sklavigon	sklav'ig'o'n
sklavigos	sklav'ig'os
sklavigita	sklav'ig'it'a
sklavigitaj	sklav'ig'it'a'j
sklavino	sklav'in'o
sklavinoj	sklav'in'o'j
sklavinojn	sklav'in'o'j'n
sklavinon	sklav'in'o'n
sklavismo	sklav'ism'o
sklavkomerco	sklav'komerc'o
sklavlaboro	sklav'labor'o
sklavposedantoj	sklav'posed'ant'o'j
sklera	skler'a
sklero	skler'o
sklerozo	skler'oz'o
skolo	skol'o
skoloj	skol'o'j
skolojn	skol'o'j'n
skolon	skol'o'n
skolastika	skolastik'a
skolastikaj	skolastik'a'j
skolastiko	skolastik'o
skolastikismo	skolastik'ism'o
skolastikuloj	skolastik'ul'o'j
skoldas	skold'as
skoldis	skold'is
skolta	skolt'a
skoltaj	skolt'a'j
skolto	skolt'o
skoltoj	skolt'o'j
skoltojn	skolt'o'j'n
skoltado	skolt'ad'o
skoltismo	skolt'ism'o
skoltismon	skolt'ism'o'n
skombro	skombr'o
skorbuto	skorbut'o
skorio	skori'o
skorion	skori'o'n
skorpio	skorpi'o
skorpioj	skorpi'o'j
skota	skot'a
skotaj	skot'a'j
skotajn	skot'a'j'n
skotan	skot'a'n
skoto	skot'o
skotoj	skot'o'j
skotio	skot'i'o
skotlanda	skot'land'a
skotlando	skot'land'o
skotlandon	skot'land'o'n
skotujo	skot'uj'o
skotviskio	skot'viski'o
skotero	skoter'o
skoteroj	skoter'o'j
skrapas	skrap'as
skrapi	skrap'i
skrapis	skrap'is
skrapado	skrap'ad'o
skrapaĵo	skrap'aĵ'o
skrapgumo	skrap'gum'o
skrapilo	skrap'il'o
skrapiloj	skrap'il'o'j
skrapita	skrap'it'a
skrapitaj	skrap'it'a'j
skriba	skrib'a
skribaj	skrib'a'j
skribajn	skrib'a'j'n
skriban	skrib'a'n
skribas	skrib'as
skribe	skrib'e
skribi	skrib'i
skribis	skrib'is
skribo	skrib'o
skriboj	skrib'o'j
skribojn	skrib'o'j'n
skribon	skrib'o'n
skribos	skrib'os
skribu	skrib'u
skribus	skrib'us
skribaĉas	skrib'aĉ'as
skribaĉi	skrib'aĉ'i
skribaĉis	skrib'aĉ'is
skribadas	skrib'ad'as
skribadis	skrib'ad'is
skribado	skrib'ad'o
skribadon	skrib'ad'o'n
skribaĵo	skrib'aĵ'o
skribaĵoj	skrib'aĵ'o'j
skribaĵojn	skrib'aĵ'o'j'n
skribaĵon	skrib'aĵ'o'n
skribanta	skrib'ant'a
skribantaj	skrib'ant'a'j
skribantas	skrib'ant'as
skribante	skrib'ant'e
skribanto	skrib'ant'o
skribantoj	skrib'ant'o'j
skribarto	skrib'art'o
skribata	skrib'at'a
skribataj	skrib'at'a'j
skribebla	skrib'ebl'a
skribigis	skrib'ig'is
skribiĝas	skrib'iĝ'as
skribiĝis	skrib'iĝ'is
skribilo	skrib'il'o
skribiloj	skrib'il'o'j
skribilojn	skrib'il'o'j'n
skribilon	skrib'il'o'n
skribilaro	skrib'il'ar'o
skribinta	skrib'int'a
skribinte	skrib'int'e
skribinto	skrib'int'o
skribista	skrib'ist'a
skribisto	skrib'ist'o
skribistoj	skrib'ist'o'j
skribistojn	skrib'ist'o'j'n
skribita	skrib'it'a
skribitaj	skrib'it'a'j
skribitajn	skrib'it'a'j'n
skribitan	skrib'it'a'n
skribite	skrib'it'e
skribitaĵoj	skrib'it'aĵ'o'j
skriblingvo	skrib'lingv'o
skriblingvon	skrib'lingv'o'n
skribmaniero	skrib'manier'o
skribmanieroj	skrib'manier'o'j
skribmanierojn	skrib'manier'o'j'n
skribmanieron	skrib'manier'o'n
skribmaŝino	skrib'maŝin'o
skribmaŝinon	skrib'maŝin'o'n
skribolingvo	skrib'o'lingv'o
skribotabla	skrib'o'tabl'a
skribotablo	skrib'o'tabl'o
skribotabloj	skrib'o'tabl'o'j
skribotablon	skrib'o'tabl'o'n
skribonta	skrib'ont'a
skribplumo	skrib'plum'o
skribsignoj	skrib'sign'o'j
skribsistemo	skrib'sistem'o
skribsistemoj	skrib'sistem'o'j
skribsistemojn	skrib'sistem'o'j'n
skribsistemon	skrib'sistem'o'n
skribstilo	skrib'stil'o
skribtabla	skrib'tabl'a
skribtablaj	skrib'tabl'a'j
skribtablo	skrib'tabl'o
skribtablon	skrib'tabl'o'n
skribtabulo	skrib'tabul'o
skripto	skript'o
skriptoj	skript'o'j
skriptlingvo	skript'lingv'o
skrupula	skrupul'a
skrupule	skrupul'e
skrupulo	skrupul'o
skrupuloj	skrupul'o'j
skrupulojn	skrupul'o'j'n
skua	sku'a
skuaj	sku'a'j
skuas	sku'as
skue	sku'e
skui	sku'i
skuis	sku'is
skuo	sku'o
skuoj	sku'o'j
skuon	sku'o'n
skuos	sku'os
skuu	sku'u
skuadis	sku'ad'is
skuado	sku'ad'o
skuadon	sku'ad'o'n
skuanta	sku'ant'a
skuante	sku'ant'e
skuata	sku'at'a
skuetis	sku'et'is
skuiĝas	sku'iĝ'as
skuiĝis	sku'iĝ'is
skuiĝo	sku'iĝ'o
skuita	sku'it'a
skuitaj	sku'it'a'j
skulpta	skulpt'a
skulptaj	skulpt'a'j
skulptas	skulpt'as
skulpti	skulpt'i
skulptis	skulpt'is
skulptado	skulpt'ad'o
skulptadon	skulpt'ad'o'n
skulptaĵo	skulpt'aĵ'o
skulptaĵoj	skulpt'aĵ'o'j
skulptaĵojn	skulpt'aĵ'o'j'n
skulptaĵon	skulpt'aĵ'o'n
skulptarto	skulpt'art'o
skulptisto	skulpt'ist'o
skulptistoj	skulpt'ist'o'j
skulptiston	skulpt'ist'o'n
skulptita	skulpt'it'a
skulptitaj	skulpt'it'a'j
skulpturo	skulptur'o
skuno	skun'o
skurĝis	skurĝ'is
skurĝo	skurĝ'o
skurĝado	skurĝ'ad'o
skurĝita	skurĝ'it'a
skute	skut'e
skuti	skut'i
skvama	skvam'a
skvamaj	skvam'a'j
skvamoj	skvam'o'j
skvamojn	skvam'o'j'n
skvameca	skvam'ec'a
skvamecaj	skvam'ec'a'j
skvaŝo	skvaŝ'o
skvaŝon	skvaŝ'o'n
slabo	slab'o
slaboj	slab'o'j
slabon	slab'o'n
slanga	slang'a
slange	slang'e
slango	slang'o
slangon	slang'o'n
slangaĵo	slang'aĵ'o
slava	slav'a
slavaj	slav'a'j
slavajn	slav'a'j'n
slavan	slav'a'n
slave	slav'e
slavo	slav'o
slavoj	slav'o'j
slavojn	slav'o'j'n
slavona	slavon'a
slavonio	slavoni'o
sledo	sled'o
sledoj	sled'o'j
sledojn	sled'o'j'n
sledon	sled'o'n
sledeto	sled'et'o
slipo	slip'o
slipoj	slip'o'j
slipojn	slip'o'j'n
slipon	slip'o'n
sliparo	slip'ar'o
slogano	slogan'o
sloganoj	slogan'o'j
sloganojn	slogan'o'j'n
sloganon	slogan'o'n
slovaka	slovak'a
slovakaj	slovak'a'j
slovakan	slovak'a'n
slovako	slovak'o
slovakoj	slovak'o'j
slovakia	slovak'i'a
slovakio	slovak'i'o
slovakion	slovak'i'o'n
slovakujo	slovak'uj'o
slovena	sloven'a
slovenaj	sloven'a'j
slovenan	sloven'a'n
slovene	sloven'e
sloveno	sloven'o
slovenoj	sloven'o'j
slovenio	sloven'i'o
smeralda	smerald'a
smeraldaj	smerald'a'j
smeraldan	smerald'a'n
smeraldo	smerald'o
smeraldoj	smerald'o'j
smeraldojn	smerald'o'j'n
snoba	snob'a
snobo	snob'o
snufis	snuf'is
sobra	sobr'a
sobraj	sobr'a'j
sobran	sobr'a'n
sobre	sobr'e
sobreco	sobr'ec'o
socia	soci'a
sociaj	soci'a'j
sociajn	soci'a'j'n
socian	soci'a'n
socie	soci'e
socio	soci'o
socioj	soci'o'j
sociojn	soci'o'j'n
socion	soci'o'n
socianoj	soci'an'o'j
socianiĝo	soci'an'iĝ'o
sociareta	soci'ar'et'a
sociekonomia	soci'ekonomi'a
sociekonomiaj	soci'ekonomi'a'j
sociekonomian	soci'ekonomi'a'n
sociekonomika	soci'ekonomik'a
sociekonomikaj	soci'ekonomik'a'j
sociekonomikajn	soci'ekonomik'a'j'n
sociekonomikan	soci'ekonomik'a'n
sociema	soci'em'a
sociemaj	soci'em'a'j
sociemo	soci'em'o
socigarantia	soci'garanti'a
socihistorio	soci'histori'o
socikontrolo	soci'kontrol'o
socikritikaj	soci'kritik'a'j
socikultura	soci'kultur'a
socikulturaj	soci'kultur'a'j
socikulturan	soci'kultur'a'n
socilingvistika	soci'lingv'ist'ik'a
socilingvistikaj	soci'lingv'ist'ik'a'j
socilingvistiko	soci'lingv'ist'ik'o
sociolingvistiko	soci'o'lingv'ist'ik'o
socioscienco	soci'o'scienc'o
sociosciencoj	soci'o'scienc'o'j
sociologo	soci'olog'o
sociologoj	soci'olog'o'j
sociologia	soci'olog'i'a
sociologiaj	soci'olog'i'a'j
sociologiajn	soci'olog'i'a'j'n
sociologian	soci'olog'i'a'n
sociologie	soci'olog'i'e
sociologio	soci'olog'i'o
sociologion	soci'olog'i'o'n
sociordo	soci'ord'o
sociordon	soci'ord'o'n
socipolitika	soci'politik'a
socipolitikaj	soci'politik'a'j
socipolitikajn	soci'politik'a'j'n
socirondoj	soci'rond'o'j
sociscienca	soci'scienc'a
sociservoj	soci'serv'o'j
socisistemoj	soci'sistem'o'j
socitavolo	soci'tavol'o
socitavoloj	soci'tavol'o'j
sociteknika	soci'teknik'a
sociteorio	soci'teori'o
sociutila	soci'util'a
sociutilaj	soci'util'a'j
sociala	social'a
socialaj	social'a'j
socialajn	social'a'j'n
socialan	social'a'n
sociale	social'e
socialaferoj	social'afer'o'j
socialaferojn	social'afer'o'j'n
socialasekuro	social'asekur'o
socialdarvinismo	social'darvin'ism'o
socialdemokrata	social'demokrat'a
socialdemokrataj	social'demokrat'a'j
socialdemokrato	social'demokrat'o
socialdemokratoj	social'demokrat'o'j
socialdemokratojn	social'demokrat'o'j'n
socialdemokratia	social'demokrat'i'a
socialdemokratio	social'demokrat'i'o
socialhelpantoj	social'help'ant'o'j
socialigo	social'ig'o
socialisma	social'ism'a
socialismaj	social'ism'a'j
socialismajn	social'ism'a'j'n
socialisman	social'ism'a'n
socialismo	social'ism'o
socialismon	social'ism'o'n
socialista	social'ist'a
socialistaj	social'ist'a'j
socialistan	social'ist'a'n
socialisto	social'ist'o
socialistoj	social'ist'o'j
socialistojn	social'ist'o'j'n
socialkontrakto	social'kontrakt'o
socialservo	social'serv'o
socialŝanĝo	social'ŝanĝ'o
socialŝanĝoj	social'ŝanĝ'o'j
societa	societ'a
societaj	societ'a'j
societan	societ'a'n
societo	societ'o
societoj	societ'o'j
societojn	societ'o'j'n
societon	societ'o'n
societanoj	societ'an'o'j
societema	societ'em'a
societemaj	societ'em'a'j
societemo	societ'em'o
societumi	societ'um'i
sodo	sod'o
sodakvo	sod'akv'o
sodomii	sodomi'i
sodomio	sodomi'o
sofo	sof'o
sofoj	sof'o'j
sofon	sof'o'n
sofia	sofi'a
sofio	sofi'o
sofismo	sofism'o
sofistoj	sofist'o'j
sofistika	sofist'ik'a
sofistikaj	sofist'ik'a'j
sofistikajn	sofist'ik'a'j'n
sofistikan	sofist'ik'a'n
sofistikeco	sofist'ik'ec'o
soforo	sofor'o
softa	soft'a
softe	soft'e
softbalo	softbal'o
softvara	softvar'a
softvaraj	softvar'a'j
softvarajn	softvar'a'j'n
softvaran	softvar'a'n
softvare	softvar'e
softvaro	softvar'o
softvaroj	softvar'o'j
softvarojn	softvar'o'j'n
softvaron	softvar'o'n
softvaraĵo	softvar'aĵ'o
softvaraĵoj	softvar'aĵ'o'j
softvararkitekturo	softvar'arkitektur'o
softvardezajno	softvar'dezajn'o
softvarigo	softvar'ig'o
softvariloj	softvar'il'o'j
softvaristoj	softvar'ist'o'j
softvarprojektoj	softvar'projekt'o'j
softvarsistemo	softvar'sistem'o
softvarsistemoj	softvar'sistem'o'j
soifa	soif'a
soifaj	soif'a'j
soifas	soif'as
soifis	soif'is
soifo	soif'o
soifon	soif'o'n
soifos	soif'os
soifanta	soif'ant'a
soja	soj'a
sojo	soj'o
sojon	soj'o'n
sojfaba	soj'fab'a
sojfabo	soj'fab'o
sojfaboj	soj'fab'o'j
sojfabojn	soj'fab'o'j'n
sojlakto	soj'lakt'o
sojoleo	soj'ole'o
sojsaŭco	soj'saŭc'o
sojla	sojl'a
sojlan	sojl'a'n
sojle	sojl'e
sojlo	sojl'o
sojloj	sojl'o'j
sojlojn	sojl'o'j'n
sojlon	sojl'o'n
soka	sok'a
soko	sok'o
soklo	sokl'o
sokloj	sokl'o'j
soklon	sokl'o'n
sokrata	sokrat'a
sokrato	sokrat'o
sokraton	sokrat'o'n
sola	sol'a
solaj	sol'a'j
solajn	sol'a'j'n
solan	sol'a'n
solas	sol'as
sole	sol'e
soli	sol'i
solis	sol'is
solo	sol'o
solon	sol'o'n
soleca	sol'ec'a
solecaj	sol'ec'a'j
solecan	sol'ec'a'n
solece	sol'ec'e
soleco	sol'ec'o
solecon	sol'ec'o'n
solema	sol'em'a
solemaj	sol'em'a'j
solemulo	sol'em'ul'o
solflanka	sol'flank'a
solinfano	sol'infan'o
solinfanoj	sol'infan'o'j
solisto	sol'ist'o
solistoj	sol'ist'o'j
solluda	sol'lud'a
solludaj	sol'lud'a'j
solludajn	sol'lud'a'j'n
solludo	sol'lud'o
solula	sol'ul'a
solulo	sol'ul'o
soluloj	sol'ul'o'j
solana	solan'a
solano	solan'o
solanacoj	solan'ac'o'j
soldulo	sold'ul'o
solduloj	sold'ul'o'j
soldulojn	sold'ul'o'j'n
soldata	soldat'a
soldataj	soldat'a'j
soldatajn	soldat'a'j'n
soldatan	soldat'a'n
soldato	soldat'o
soldatoj	soldat'o'j
soldatojn	soldat'o'j'n
soldaton	soldat'o'n
soldataro	soldat'ar'o
soldataroj	soldat'ar'o'j
soldataron	soldat'ar'o'n
soldateduko	soldat'eduk'o
soldatiĝi	soldat'iĝ'i
soldatiĝis	soldat'iĝ'is
soldatinoj	soldat'in'o'j
soldatloĝejo	soldat'loĝ'ej'o
soldatservis	soldat'serv'is
soldatservo	soldat'serv'o
soldatservantoj	soldat'serv'ant'o'j
solena	solen'a
solenaj	solen'a'j
solenajn	solen'a'j'n
solenan	solen'a'n
solenas	solen'as
solene	solen'e
soleni	solen'i
solenis	solen'is
soleno	solen'o
solenoj	solen'o'j
solenon	solen'o'n
solenado	solen'ad'o
solenaĵo	solen'aĵ'o
solenaĵoj	solen'aĵ'o'j
solenaĵon	solen'aĵ'o'n
soleneco	solen'ec'o
solenoido	solenoid'o
solida	solid'a
solidaj	solid'a'j
solidajn	solid'a'j'n
solidan	solid'a'n
solide	solid'e
solido	solid'o
solidoj	solid'o'j
solidojn	solid'o'j'n
solidon	solid'o'n
solidaĵo	solid'aĵ'o
solideco	solid'ec'o
solidecon	solid'ec'o'n
solidigi	solid'ig'i
solidigis	solid'ig'is
solidigita	solid'ig'it'a
solidiĝas	solid'iĝ'as
solidiĝi	solid'iĝ'i
solidiĝis	solid'iĝ'is
solidiĝo	solid'iĝ'o
solidrubo	solid'rub'o
solidsolviĝon	solid'solv'iĝ'o'n
solidstata	solid'stat'a
solidsubstanca	solid'substanc'a
solidsubstancaj	solid'substanc'a'j
solidara	solidar'a
solidaraj	solidar'a'j
solidare	solidar'e
solidaro	solidar'o
solidareca	solidar'ec'a
solidarecan	solidar'ec'a'n
solidareco	solidar'ec'o
solidarecon	solidar'ec'o'n
soloo	solo'o
solooj	solo'o'j
soloon	solo'o'n
soloisto	solo'ist'o
soloistoj	solo'ist'o'j
solono	solon'o
soloturno	soloturn'o
solstico	solstic'o
solvas	solv'as
solvi	solv'i
solvis	solv'is
solvo	solv'o
solvoj	solv'o'j
solvojn	solv'o'j'n
solvon	solv'o'n
solvos	solv'os
solvu	solv'u
solvus	solv'us
solvado	solv'ad'o
solvadon	solv'ad'o'n
solvaĵo	solv'aĵ'o
solvaĵoj	solv'aĵ'o'j
solvaĵojn	solv'aĵ'o'j'n
solvaĵon	solv'aĵ'o'n
solvanta	solv'ant'a
solvante	solv'ant'e
solvanto	solv'ant'o
solvantoj	solv'ant'o'j
solvata	solv'at'a
solvataj	solv'at'a'j
solvebla	solv'ebl'a
solveblaj	solv'ebl'a'j
solveblajn	solv'ebl'a'j'n
solveblan	solv'ebl'a'n
solveblas	solv'ebl'as
solvebleco	solv'ebl'ec'o
solveblecon	solv'ebl'ec'o'n
solvenda	solv'end'a
solvendaj	solv'end'a'j
solviĝas	solv'iĝ'as
solviĝi	solv'iĝ'i
solviĝis	solv'iĝ'is
solviĝos	solv'iĝ'os
solvilo	solv'il'o
solviloj	solv'il'o'j
solvilojn	solv'il'o'j'n
solvinta	solv'int'a
solvita	solv'it'a
solvitaj	solv'it'a'j
solvoproponoj	solv'o'propon'o'j
solventa	solvent'a
solventaj	solvent'a'j
sombra	sombr'a
sombraj	sombr'a'j
sombre	sombr'e
somera	somer'a
someraj	somer'a'j
somerajn	somer'a'j'n
someran	somer'a'n
somere	somer'e
somero	somer'o
someroj	somer'o'j
somerojn	somer'o'j'n
someron	somer'o'n
somerdomo	somer'dom'o
somerferioj	somer'feri'o'j
somerferiojn	somer'feri'o'j'n
somerkomenco	somer'komenc'o
somermeza	somer'mez'a
somermezo	somer'mez'o
somermonatoj	somer'monat'o'j
somersezono	somer'sezon'o
someruma	somer'um'a
somerumado	somer'um'ad'o
somerumejo	somer'um'ej'o
sona	son'a
sonaj	son'a'j
sonan	son'a'n
sonas	son'as
sone	son'e
soni	son'i
sonis	son'is
sono	son'o
sonoj	son'o'j
sonojn	son'o'j'n
sonon	son'o'n
sonos	son'os
sonu	son'u
sonus	son'us
sonadis	son'ad'is
sonado	son'ad'o
sonadon	son'ad'o'n
sonanta	son'ant'a
sonantaj	son'ant'a'j
sonante	son'ant'e
sonaro	son'ar'o
sonaroj	son'ar'o'j
sonaron	son'ar'o'n
sonartikolo	son'artikol'o
sonartikoloj	son'artikol'o'j
sonartikolojn	son'artikol'o'j'n
sonartikolon	son'artikol'o'n
sonata	son'at'a
sonato	son'at'o
sonatoj	son'at'o'j
sonaton	son'at'o'n
sonbendo	son'bend'o
sonbendoj	son'bend'o'j
sonbendojn	son'bend'o'j'n
sonbendon	son'bend'o'n
sondiskoj	son'disk'o'j
sondiskojn	son'disk'o'j'n
sondokumentoj	son'dokument'o'j
sondosiero	son'dosier'o
sondosieroj	son'dosier'o'j
sondosierojn	son'dosier'o'j'n
sonefekto	son'efekt'o
sonefektoj	son'efekt'o'j
sonefektojn	son'efekt'o'j'n
soneto	son'et'o
sonetoj	son'et'o'j
sonetojn	son'et'o'j'n
soneton	son'et'o'n
sonfilmo	son'film'o
sonfonto	son'font'o
sonigas	son'ig'as
sonigi	son'ig'i
sonigis	son'ig'is
sonimitoj	son'imit'o'j
sonkasedo	son'kased'o
sonkasedoj	son'kased'o'j
sonkesto	son'kest'o
sonkoloro	son'kolor'o
sonkoloroj	son'kolor'o'j
sonkoloron	son'kolor'o'n
sonkvalito	son'kvalit'o
sonkvaliton	son'kvalit'o'n
sonlibro	son'libr'o
sonlibroj	son'libr'o'j
sononda	son'ond'a
sonondaj	son'ond'a'j
sonondo	son'ond'o
sonondoj	son'ond'o'j
sonondojn	son'ond'o'j'n
sonpremo	son'prem'o
sonregistris	son'registr'is
sonregistrado	son'registr'ad'o
sonregistraĵo	son'registr'aĵ'o
sonregistraĵoj	son'registr'aĵ'o'j
sonregistraĵojn	son'registr'aĵ'o'j'n
sonregistrilo	son'registr'il'o
sonsignalo	son'signal'o
sonsignaloj	son'signal'o'j
sonsistemo	son'sistem'o
sonspuro	son'spur'o
sonspurojn	son'spur'o'j'n
sontrako	son'trak'o
sonata	sonat'a
sonato	sonat'o
sonatoj	sonat'o'j
sonaton	sonat'o'n
sonda	sond'a
sondaj	sond'a'j
sondas	sond'as
sondi	sond'i
sondis	sond'is
sondo	sond'o
sondoj	sond'o'j
sondado	sond'ad'o
sondilo	sond'il'o
sondiloj	sond'il'o'j
soneto	sonet'o
sonetoj	sonet'o'j
sonetojn	sonet'o'j'n
soneton	sonet'o'n
sonĝa	sonĝ'a
sonĝas	sonĝ'as
sonĝe	sonĝ'e
sonĝi	sonĝ'i
sonĝis	sonĝ'is
sonĝo	sonĝ'o
sonĝoj	sonĝ'o'j
sonĝojn	sonĝ'o'j'n
sonĝon	sonĝ'o'n
sonĝu	sonĝ'u
sonĝaĉas	sonĝ'aĉ'as
sonĝaĉis	sonĝ'aĉ'is
sonĝaĉos	sonĝ'aĉ'os
sonĝado	sonĝ'ad'o
sonĝanta	sonĝ'ant'a
sonĝante	sonĝ'ant'e
sonja	sonj'a
sonjo	sonj'o
sonora	sonor'a
sonoraj	sonor'a'j
sonoran	sonor'a'n
sonoras	sonor'as
sonore	sonor'e
sonori	sonor'i
sonoris	sonor'is
sonoro	sonor'o
sonoron	sonor'o'n
sonoru	sonor'u
sonoradis	sonor'ad'is
sonorado	sonor'ad'o
sonoradon	sonor'ad'o'n
sonoranta	sonor'ant'a
sonoranto	sonor'ant'o
sonorantoj	sonor'ant'o'j
sonoreco	sonor'ec'o
sonoregas	sonor'eg'as
sonoregi	sonor'eg'i
sonoregis	sonor'eg'is
sonorigas	sonor'ig'as
sonorigi	sonor'ig'i
sonorigis	sonor'ig'is
sonorigu	sonor'ig'u
sonorila	sonor'il'a
sonorilo	sonor'il'o
sonoriloj	sonor'il'o'j
sonorilojn	sonor'il'o'j'n
sonorilon	sonor'il'o'n
sonorilado	sonor'il'ad'o
sonorilaro	sonor'il'ar'o
sonorilego	sonor'il'eg'o
sonorilejo	sonor'il'ej'o
sonorileto	sonor'il'et'o
sonoriletoj	sonor'il'et'o'j
sonorileton	sonor'il'et'o'n
sonorilforma	sonor'il'form'a
sonorilostablo	sonor'il'o'stabl'o
sonorilturo	sonor'il'tur'o
sonorilturoj	sonor'il'tur'o'j
sopira	sopir'a
sopiras	sopir'as
sopire	sopir'e
sopiri	sopir'i
sopiris	sopir'is
sopiro	sopir'o
sopiroj	sopir'o'j
sopirojn	sopir'o'j'n
sopiron	sopir'o'n
sopiros	sopir'os
sopiradas	sopir'ad'as
sopiradi	sopir'ad'i
sopiradis	sopir'ad'is
sopirado	sopir'ad'o
sopiradon	sopir'ad'o'n
sopiranta	sopir'ant'a
sopirantaj	sopir'ant'a'j
sopirante	sopir'ant'e
sopirata	sopir'at'a
sopiratan	sopir'at'a'n
sopiregas	sopir'eg'as
sopiregis	sopir'eg'is
sopirita	sopir'it'a
sopiritaj	sopir'it'a'j
soprano	sopran'o
sorba	sorb'a
sorbas	sorb'as
sorbi	sorb'i
sorbis	sorb'is
sorbo	sorb'o
sorbus	sorb'us
sorbado	sorb'ad'o
sorbadon	sorb'ad'o'n
sorbata	sorb'at'a
sorbita	sorb'it'a
sorbitaj	sorb'it'a'j
sorbono	sorbon'o
sorbuso	sorbus'o
sorĉa	sorĉ'a
sorĉaj	sorĉ'a'j
sorĉajn	sorĉ'a'j'n
sorĉan	sorĉ'a'n
sorĉas	sorĉ'as
sorĉe	sorĉ'e
sorĉi	sorĉ'i
sorĉis	sorĉ'is
sorĉo	sorĉ'o
sorĉoj	sorĉ'o'j
sorĉojn	sorĉ'o'j'n
sorĉon	sorĉ'o'n
sorĉado	sorĉ'ad'o
sorĉadon	sorĉ'ad'o'n
sorĉarto	sorĉ'art'o
sorĉbastono	sorĉ'baston'o
sorĉisto	sorĉ'ist'o
sorĉistoj	sorĉ'ist'o'j
sorĉistojn	sorĉ'ist'o'j'n
sorĉiston	sorĉ'ist'o'n
sorĉistino	sorĉ'ist'in'o
sorĉistinoj	sorĉ'ist'in'o'j
sorĉistinojn	sorĉ'ist'in'o'j'n
sorĉistinon	sorĉ'ist'in'o'n
sorĉita	sorĉ'it'a
sorĉitaj	sorĉ'it'a'j
sorĉitan	sorĉ'it'a'n
sorgo	sorg'o
sorgon	sorg'o'n
sorobano	soroban'o
sorpo	sorp'o
sorta	sort'a
sorto	sort'o
sortoj	sort'o'j
sortojn	sort'o'j'n
sorton	sort'o'n
sortobato	sort'o'bat'o
sortobatoj	sort'o'bat'o'j
sortoŝanĝo	sort'o'ŝanĝ'o
sortoŝanĝoj	sort'o'ŝanĝ'o'j
sortimento	sortiment'o
sortimenton	sortiment'o'n
sovaĝa	sovaĝ'a
sovaĝaj	sovaĝ'a'j
sovaĝajn	sovaĝ'a'j'n
sovaĝan	sovaĝ'a'n
sovaĝe	sovaĝ'e
sovaĝbesto	sovaĝ'best'o
sovaĝbestoj	sovaĝ'best'o'j
sovaĝeco	sovaĝ'ec'o
