sabata	sabat'a
samseksemajn	sam'seks'em'a'j'n
samsekseman	sam'seks'em'a'n
samseksemo	sam'seks'em'o
samseksemon	sam'seks'em'o'n
samseksemeco	sam'seks'em'ec'o
samseksemulo	sam'seks'em'ul'o
samseksemuloj	sam'seks'em'ul'o'j
samseksemulojn	sam'seks'em'ul'o'j'n
samseksuloj	sam'seks'ul'o'j
samsencaj	sam'senc'a'j
samsence	sam'senc'e
samsignifa	sam'signif'a
samsignifaj	sam'signif'a'j
samsignifas	sam'signif'as
samsignife	sam'signif'e
samsortanoj	sam'sort'an'o'j
samspeca	sam'spec'a
samspecaj	sam'spec'a'j
samspecajn	sam'spec'a'j'n
samspecan	sam'spec'a'n
samspeculoj	sam'spec'ul'o'j
samspecianoj	sam'speci'an'o'j
samspeciuloj	sam'speci'ul'o'j
samspecifa	sam'specif'a
samtaga	sam'tag'a
